,Unnamed: 0,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len,clean_sentence,clean_token
403,403.0,900.0,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,22.0,"On seizing one of these butterflies of either sex , it pushes from between the fourth and fifth segment of the abdomen two hemispherical protuberances producing a disagreeable odour ; and the male has a second pair between the fifth and sixth segments of the abdomen , while a different musk-like odour is produced by a black spot beneath the front wings .",musk-like disagreeable two hemispherical protuberances by a black spot beneath the front wings odour odour,Olfactive,Evoked\_Odorant,63.0,seizing one butterflies either sex pushes fourth fifth segment abdomen two hemispherical protuberances producing disagreeable odour male second pair fifth sixth segments abdomen different musklike odour produced black spot beneath front wings,musklike disagreeable two hemispherical protuberances black spot beneath front wings odour odour
598,599.0,1370.0,085E Gervase Markham 1631 A new orchard__20_distribution_HOUS.txt,5.0,"I haue of them nine or ten seuerall colours , and diuers of them as big as Roses : of all flowers ( saue the Damaske Rose ) they are the most pleasant to sight and smell : they last not past three or foure yeeres vnremoued .",the most pleasant they smell,Olfactive,Quality,48.0,haue nine ten seuerall colours diuers big roses flowers saue damaske rose pleasant sight smell last not past three foure yeeres vnremoued,pleasant smell
138,138.0,293.0,009E Erasmus Darwin 1794 Zoonomia or the laws of organic life London 1794 ECCO TCP_MED.txt,30.0,"The organ of smell is irritated by this perfume , and the lacrymal sack empties itself into the nostrils , as before explained , and an increase of tears is poured into the eyes .",perfume,Olfactive,Smell\_Word,35.0,organ smell irritated perfume lacrymal sack empties nostrils explained increase tears poured eyes,perfume
294,294.0,689.0,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,59.0,"Niieke mentions that a colleague of his was informed by a prostitute that several of her clients desired the odor of new shoes in the room , and that she was accustomed to obtain the desired perfume by holding her shoes for a moment over the flame of a spirit lamp .",desired of new shoes odor perfume,Olfactive,Quality,52.0,niieke mentions colleague informed prostitute several clients desired odor new shoes room accustomed obtain desired perfume holding shoes moment flame spirit lamp,desired new shoes odor perfume
520,520.0,1190.0,067E Richardson 1910 War Police and Watch Dogs__119_distribution_LAW.txt,1.0,"It will be readily seen that night-time is the most favourable for the retention of scent , as evaporation does not take place so rapidly then , and this , of course , as I have shown , is why dogs are more especially useful at this time .",scent,Olfactive,Smell\_Word,49.0,readily seen nighttime favourable retention scent evaporation not take place rapidly course shown dogs especially useful time,scent
37,37.0,82.0,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,296.0,"The men were making manure in open vessels , and the smell in the street was so offensive , that remarks thereon were uttered by almost every passenger .",so offensive manure in open vessels smell,Olfactive,Quality,29.0,men making manure open vessels smell street offensive remarks thereon uttered almost every passenger,offensive manure open vessels smell
543,543.0,1238.0,070E Thomas Shadwell 1673 Epsom wells__16_distribution_THE.txt,13.0,"To have my Closet stink like a Pothecaries shop with Drugs and Medicines , to administer to my sick Neighbours ; and spoil the next Quacks practice with the receipt book that belongs to the family .",like a Pothecaries shop with Drugs and Medicines Closet stink,Olfactive,Evoked\_Odorant,37.0,closet stink like pothecaries shop drugs medicines administer sick neighbours spoil next quacks practice receipt book belongs family,like pothecaries shop drugs medicines closet stink
406,406.0,908.0,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,26.0,"Passing to the Burnet kind , a like incarnation of the union of night and day , the males of exotic Glaucopidae have two long retractable filaments , generally beset with hairs , on the ventral side of the abdomen , sometimes emitting a strong odour .",strong hairs odour,Olfactive,Quality,47.0,passing burnet kind like incarnation union night day males exotic glaucopidae two long retractable filaments generally beset hairs ventral side abdomen sometimes emitting strong odour,strong hairs odour
509,509.0,1160.0,065E Ernest J Parry 1925 Parry's Cyclopedia of Perfumery__1321_distribution_PER.txt,5.0,"It is invariably based on coumarin , modified by lavender , bergamot , and other perfumes , according to the exact note the perfumer wishes to give to his product .",other lavender bergamot perfumes,Olfactive,Quality,31.0,invariably based coumarin modified lavender bergamot perfumes according exact note perfumer wishes give product,lavender bergamot perfumes
586,587.0,1344.0,083E Estelle D Buchanan 1913 Household bacteriology__75_distribution_HOUS.txt,12.0,Indol and methyl indol or skatol are commonly formed from native proteins or peptones in the absence of carbohydrates by many organisms .,Indol and methyl indol or skatol,Olfactive,Smell\_Source,23.0,indol methyl indol skatol commonly formed native proteins peptones absence carbohydrates many organisms,indol methyl indol skatol
84,84.0,192.0,008E Anon 1779 A short history of drugs.txt_distribution.txt,10.0,"Is a concrete gummy substance , of a strong faetid smell , resembling Onions , or rather Shallots , in small Drops or Tears ; but when packt forms a massy lump .",Onions Shallots strong faetid smell,Olfactive,Evoked\_Odorant,33.0,concrete gummy substance strong faetid smell resembling onions rather shallots small drops tears packt forms massy lump,onions shallots strong faetid smell
112,112.0,240.0,008E Anon 1779 A short history of drugs.txt_distribution.txt,179.0,"A pale yellowish Wood , of a pleasant Smell , bitterish aromatic Taste , which leaves an agreeable kind of Pungency ; it is generally brought in large thick Logs , and Care should be taken that it is quite sound and solid .",pleasant Smell,Olfactive,Quality,44.0,pale yellowish wood pleasant smell bitterish aromatic taste leaves agreeable kind pungency generally brought large thick logs care taken quite sound solid,pleasant smell
345,345.0,800.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,80.0,These remarks refer chiefly to cases of pulmonary fetor in which changes of structure have been observed .,pulmonary fetor,Olfactive,Quality,18.0,remarks refer chiefly cases pulmonary fetor changes structure observed,pulmonary fetor
569,570.0,1299.0,078E E. T. 1734 The Art and Mystery of vintners and wine coopers__64_distribution_HOUS.txt,2.0,"The Inconvenience is , that the Wine becomes more heady , for which Elder Flowers added to the Clary is a Remedy , which also betters the Fragancy thereof , as ’ tis manifest in Elder-Vinegar ; but these Flowers are apt to make the Wine ropy .",Elder Flowers which Fragancy,Olfactive,Smell\_Source,48.0,inconvenience wine becomes heady elder flowers added clary remedy also betters fragancy thereof ’ tis manifest eldervinegar flowers apt make wine ropy,elder flowers fragancy
531,531.0,1215.0,068E Alfred Swaine Taylor 1859 On Poisons__531_distribution_LAW.txt,12.0,"There is , however , a difference between these odours ; but the difference is not perceptible to the senses of all , and the only practical point requiring notice is , that the diluted odour of bitter almonds would probably be pronounced by many persons to indicate the presence of prussic acid , especially if there existed any suspicion of violent death .",prussic acid diluted of bitter almonds odours odour,Olfactive,Odour\_Carrier,64.0,however difference odours difference not perceptible senses only practical point requiring notice diluted odour bitter almonds would probably pronounced many persons indicate presence prussic acid especially existed suspicion violent death,prussic acid diluted bitter almonds odours odour
203,203.0,451.0,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,35.0,"Aromatick-Astringents : As Aromaticks , they are Cordial ; and from their Astringency , they strengthen the Fibres of the Stomach and Membranes , and all Nervous Parts ; and by an Acid evident in their Astringency , they hinder the greater Rarefaction of the Blood by their fragrant pungent Oyl .",fragrant pungent Aromatick-Astringents their Oyl,Olfactive,Quality,52.0,aromatickastringents aromaticks cordial astringency strengthen fibres stomach membranes nervous parts acid evident astringency hinder greater rarefaction blood fragrant pungent oyl,fragrant pungent aromatickastringents oyl
493,493.0,1127.0,063E Pierre Joseph Buchoz 1784 The Toilet of Flora__172_distribution_PER.txt,7.0,"As Spanish Snuff is very fine and of a redish colour , to imitate it nicely , take the best Dutch Snuff , well cleansed , granulated , and coloured red ; beat it fine , and sift it through a very fine lawn sieve .",the best Dutch Snuff,Olfactive,Odour\_Carrier,46.0,spanish snuff fine redish colour imitate nicely take best dutch snuff well cleansed granulated coloured red beat fine sift fine lawn sieve,best dutch snuff
558,559.0,1274.0,076E Henry Dodwell 1711 Incense 2__41_distribution_REL.txt,3.0,To burn Incense to those who have no Breath by which they might smell it ?,Incense it smell,Olfactive,Smell\_Source,16.0,burn incense no breath might smell,incense smell
534,534.0,1223.0,068E Alfred Swaine Taylor 1859 On Poisons__531_distribution_LAW.txt,16.0,"These facts appear to me to explain , — why , on being called to a case of poisoning by this acid , or during the examination of a body , some medical men perceive the odour while others do not .",odour,Olfactive,Smell\_Word,42.0,facts appear explain — called case poisoning acid examination body medical men perceive odour others not,odour
207,207.0,459.0,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,41.0,"That a Fetor , in the highest Degree , has also a Volatile Salt admixt , is proved by the Excrements of Animals , putrefied Flesh , rine , Blood , and putrefied Vegetables ; which yield a Volatile Salt .",in the highest Degree the Excrements of Animals putrefied Flesh rine Blood putrefied Vegetables Fetor,Olfactive,Quality,41.0,fetor highest degree also volatile salt admixt proved excrements animals putrefied flesh rine blood putrefied vegetables yield volatile salt,highest degree excrements animals putrefied flesh rine blood putrefied vegetables fetor
503,503.0,1144.0,064E 1787 A new collection of the most easy and approved methods of preparing__167_distribution_PER.txt,7.0,"A pleasant Perfume , Take a drachm of Musk , four Cloves , four ounces of Lavender-seed , a drachm and a half of Civet , and half a drachm of Ambergris ; heat your pestle and mortar , and rub the Musk , Cloves , and Lavender-seeds , together , with a lump of Loaf Sugar and a wine-glass full of Angelic or Rose-water .",pleasant of Musk four Cloves four ounces of Lavender-seed a drachm and a half of Civet half a drachm of Ambergris Musk Cloves Lavender-seeds a lump of Loaf Sugar a wine-glass full of Angelic or Rose-water Perfume,Olfactive,Quality,66.0,pleasant perfume take drachm musk four cloves four ounces lavenderseed drachm half civet half drachm ambergris heat pestle mortar rub musk cloves lavenderseeds together lump loaf sugar wineglass full angelic rosewater,pleasant musk four cloves four ounces lavenderseed drachm half civet half drachm ambergris musk cloves lavenderseeds lump loaf sugar wineglass full angelic rosewater perfume
130,130.0,276.0,008E Anon 1779 A short history of drugs.txt_distribution.txt,83.0,"A concrete gummy rosinous Juice , the Produce of Persia ; the best brought home , by the way of the East Indies , is in reddish or Orange-coloured Drops or Tears , and when broke the Inside appears of a pale yellow , intermixed with white Specks ; it has a very fragrant Smell , something like Sellery Roots , and a pleasant bitter acrid Taste .",something like Sellery Roots very fragrant it Smell,Olfactive,Evoked\_Odorant,68.0,concrete gummy rosinous juice produce persia best brought home way east indies reddish orangecoloured drops tears broke inside appears pale yellow intermixed white specks fragrant smell something like sellery roots pleasant bitter acrid taste,something like sellery roots fragrant smell
517,517.0,1180.0,066E Frederick William Burbidge 1905 The Book of the Scented Garden__817_distribution_PER.txt,5.0,Both leaf and flower perfume depends on the same essential oil being in different states or conditions .,oil same leaf flower perfume essential,Olfactive,Odour\_Carrier,18.0,leaf flower perfume depends essential oil different states conditions,oil leaf flower perfume essential
125,125.0,266.0,008E Anon 1779 A short history of drugs.txt_distribution.txt,76.0,"There is also a brown sort , which appears of the same mealy Substance , and sells near as well The second Sort has the same Colour , Taste , and Smell ; but the Inside appears more glassy and solid , and generally in less Lumps .",same Smell,Olfactive,Quality,48.0,also brown sort appears mealy substance sells near well second sort colour taste smell inside appears glassy solid generally less lumps,smell
450,450.0,1006.0,057E Charles Lillie 1822 The British Perfumer__716_distribution_PER.txt,9.0,"It has also , with its own proper perfume , a very distinguishing smell of urine .",of urine own proper a very distinguishing It perfume smell,Olfactive,Evoked\_Odorant,17.0,also proper perfume distinguishing smell urine,urine proper distinguishing perfume smell
20,20.0,42.0,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,16.0,"When these factories are in full activity , as they are from the month of December to July , the stores of stinking ingredients used by the manufacturers , 9 give a permanent smell to some parts of the street , and when the mixing goes on , the action of the sulphuric acid upon the animal and vegetable matter gives out a stench , which has occasioned headache , nausea , vomiting and cough to some of the inmates of the houses adjacent to the factories .",stinking permanent ingredients smell stench,Olfactive,Quality,88.0,factories full activity month december july stores stinking ingredients used manufacturers give permanent smell parts street mixing goes action sulphuric acid upon animal vegetable matter gives stench occasioned headache nausea vomiting cough inmates houses adjacent factories,stinking permanent ingredients smell stench
4,4.0,8.0,003E Stephen Bradwell 1636 PHYSICK FOR THE SICKNESSE Commonly called the PLAGUE.txt_distribution.txt,86.0,"So Hippocrates ( in the 2d . of his Epidem . ) saith , that in Cranon a Citie of Thessalie , there arose putrid Vlcers , Pustuls , and Carbuncles , through the hot and moyst constitution of the ayre .",Vlcers Pustuls putrid,Olfactive,Smell\_Source,42.0,hippocrates epidem saith cranon citie thessalie arose putrid vlcers pustuls carbuncles hot moyst constitution ayre,vlcers pustuls putrid
169,169.0,362.0,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,37.0,"But yet if any purpose to practise this point , I wish him to go to the Arabians , who haue written so curiously concerning this point ; and it may be , in regard of their aromaticall drugs , their vrines may be of better taste then those of our Europaeans , who feed on grosser food .",drugs aromaticall,Olfactive,Smell\_Source,59.0,yet purpose practise point wish go arabians haue written curiously concerning point may regard aromaticall drugs vrines may better taste europaeans feed grosser food,drugs aromaticall
115,115.0,245.0,008E Anon 1779 A short history of drugs.txt_distribution.txt,34.0,"There is also Cassia Lignea that is of a very bright Colour and good Shape , which has little or no smell or Taste ; the breaking a handful of Sticks will ascertain the Quality almost as well as tasting , for where there is a fine Smell , there is always a strong Taste .",little fine Cassia Lignea smell Smell,Olfactive,Quality,56.0,also cassia lignea bright colour good shape little no smell taste breaking handful sticks ascertain quality almost well tasting fine smell always strong taste,little fine cassia lignea smell smell
9,9.0,18.0,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,5.0,"If a Noble man came to visit us , how would we cleanse and perfume our houses ?",perfume,Olfactive,Smell\_Word,18.0,noble man came visit us would cleanse perfume houses,perfume
418,418.0,934.0,"051E C. F. Schoenbein 1843 On the odour accompanying electricity, and on the probability of its dependence on the presence of a new substance__40_distribution_SCIE.txt",4.0,"The only metals which yield this odour are gold and platina ; but dilute sulphuric , phosphoric , and nitric acids , and from aqueous solutions of several of the salts , also disengage it .","gold platina dilute sulphuric phosphoric , and nitric acids from aqueous solutions of several of the salts odour it",Olfactive,Smell\_Source,36.0,only metals yield odour gold platina dilute sulphuric phosphoric nitric acids aqueous solutions several salts also disengage,gold platina dilute sulphuric phosphoric nitric acids aqueous solutions several salts odour
177,177.0,380.0,013E Edward Farnham 1656 The Compleat Doctoress__32_MED.txt,22.0,"the Matrix embraceth , and meeteth sweet odours and perfumes , but unsavory and stinking sents it abhors , and flies from ; for ' tis a most certaine truth , that every creature , even by naturall instinct , shunneth inconveniences , and affecteth things convenient .",sweet unsavory stinking odours perfumes sents,Olfactive,Quality,48.0,matrix embraceth meeteth sweet odours perfumes unsavory stinking sents abhors flies tis certaine truth every creature even naturall instinct shunneth inconveniences affecteth things convenient,sweet unsavory stinking odours perfumes sents
327,327.0,763.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,35.0,"I must express a doubt , however , that these were cases of tubercular phthisis , for I have never observed the faecal odour in any such cases .",faecal odour,Olfactive,Quality,29.0,must express doubt however cases tubercular phthisis never observed faecal odour cases,faecal odour
366,366.0,842.0,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,121.0,Oil of Spearmint .,Oil of Spearmint,Olfactive,Smell\_Source,4.0,oil spearmint,oil spearmint
32,32.0,69.0,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,266.0,"The ditch itself is clean and without smell , and receives the drainage of ten small houses .",The ditch smell,Olfactive,Smell\_Source,18.0,ditch clean without smell receives drainage ten small houses,ditch smell
408,408.0,913.0,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,28.0,"Thus when the male Death ' s-Head Moth is on the point of Squeaking in our fingers , as its abdomen inflates , a sessile pencil of yellow hair starts from a fold between the dorsal and ventral arcs at the base ( Plate V . , Fig . 7b ) , expanding to a stellate form with swift whirling motion , like a trundled mop ( Fig . 7a ) ; and immediately there arises an oily volatile effluvia , resembling the scent of jessamines , but soon becoming nauseous .",of jessamines oily volatile nauseous effluvia scent,Olfactive,Evoked\_Odorant,92.0,thus male death shead moth point squeaking fingers abdomen inflates sessile pencil yellow hair starts fold dorsal ventral arcs base plate v fig expanding stellate form swift whirling motion like trundled mop fig immediately arises oily volatile effluvia resembling scent jessamines soon becoming nauseous,jessamines oily volatile nauseous effluvia scent
120,120.0,256.0,008E Anon 1779 A short history of drugs.txt_distribution.txt,48.0,GALBANUM .,GALBANUM,Olfactive,Smell\_Source,2.0,galbanum,galbanum
157,157.0,336.0,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,21.0,"Nay so farre off is the stinking smell from giuing vs any particular notice of the disease , that it cannot so much as affoord vs any certaine generall knowledge of the same .",stinking smell,Olfactive,Quality,34.0,nay farre stinking smell giuing vs particular notice disease cannot much affoord vs certaine generall knowledge,stinking smell
214,214.0,478.0,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,48.0,"Divers Bitters are Fetid , as stinking Horehound ; and all Elder-Smells , as Scrophularia , are Bitter-Fetid : So the stinking Gums are Bitter , as well as Acrid and Fetid .",Fetid Bitter-Fetid stinking Acrid Fetid stinking Horehound Scrophularia Gums Elder-Smells,Olfactive,Quality,33.0,divers bitters fetid stinking horehound eldersmells scrophularia bitterfetid stinking gums bitter well acrid fetid,fetid bitterfetid stinking acrid fetid stinking horehound scrophularia gums eldersmells
68,68.0,154.0,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,40.0,"We are here dealing , in fact , with a primitive protective impulse to ensure that evil-smelling things shall not be swallowed , and the means adopted by Nature to prevent that ingestion , or , if it has accidentally occurred , to reverse it , are prompt .",things evil-smelling,Olfactive,Smell\_Source,49.0,dealing fact primitive protective impulse ensure evilsmelling things shall not swallowed means adopted nature prevent ingestion accidentally occurred reverse prompt,things evilsmelling
170,170.0,364.0,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,4.0,Stinking vrines come by foure seuerall meanes . 1 .,vrines Stinking,Olfactive,Smell\_Source,10.0,stinking vrines come foure seuerall meanes,vrines stinking
168,168.0,360.0,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,32.0,"But I am afraid the Reader will take it ill , that I so long detaine him among so vnpleasing smels ; and my selfe begin to waxe wearie of so vnworthie a thing , and as I neuer tooke any pleasure in the same , so here I leaue it to them that like it better .",so vnpleasing smels,Olfactive,Quality,58.0,afraid reader take ill long detaine among vnpleasing smels selfe begin waxe wearie vnworthie thing neuer tooke pleasure leaue like better,vnpleasing smels
552,552.0,1259.0,073E Samuel Lee 1673 Ecclesia Gemens__31_distribution_REL.txt,1.0,"Let none stand amazed at the pageantry of false Churches , nor value the Whore of Rome because of her bravery .",the Whore of Rome,Olfactive,Smell\_Source,22.0,let none stand amazed pageantry false churches nor value whore rome because bravery,whore rome
525,525.0,1200.0,067E Richardson 1910 War Police and Watch Dogs__119_distribution_LAW.txt,17.0,"My own opinion is , that the dog goes both by foot scent on the ground and also by body scent , when this latter scent is there , and I think that this is another reason why tracking in the evening or at night is so much easier for the dog .",foot body this scent scent scent,Olfactive,Smell\_Source,53.0,opinion dog goes foot scent ground also body scent latter scent think another reason tracking evening night much easier dog,foot body scent scent scent
365,365.0,841.0,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,12.0,The oil distilled in Europe from anise fruit ; or in China from star-anise fruit .,from star-anise fruit,Olfactive,Smell\_Source,16.0,oil distilled europe anise fruit china staranise fruit,staranise fruit
283,283.0,666.0,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,48.0,"It is said by some , probably with a certain degree of truth , that Peau d ' Espagne is of all perfumes that which most nearly approaches the odor of a woman ' s skin ; whether it also suggests the odor of leather is not so clear .",Peau d ' Espagne of a woman ' s skin of leather perfumes odor odor,Olfactive,Smell\_Source,50.0,said probably certain degree truth peau espagne perfumes nearly approaches odor woman skin whether also suggests odor leather not clear,peau espagne woman skin leather perfumes odor odor
191,191.0,419.0,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,18.0,"A Nauseous Taste depends on a sweet Bitter , mixed with Mucilage and Pungency , as in Aloes , Agarick , Rubarb : And Docks want only the Sweetness ; but have Bitter , Slimy , Sub-acrid Astringency . 3 .",Aloes Agarick Rubarb Nauseous,Olfactive,Smell\_Source,41.0,nauseous taste depends sweet bitter mixed mucilage pungency aloes agarick rubarb docks want only sweetness bitter slimy subacrid astringency,aloes agarick rubarb nauseous
350,350.0,810.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,86.0,"Indeed , I know no more intractable malady , for even when the stockings and shoes are changed two or three times a-day and powerful scents used , the morbid stench is still diffused .",morbid stench,Olfactive,Quality,35.0,indeed know no intractable malady even stockings shoes changed two three times aday powerful scents used morbid stench still diffused,morbid stench
468,468.0,1056.0,059E Simon Barbe 1696 The French Perfumer__430_distribution_PER.txt,5.0,Another manner of Perfuming Snuff with Flowers .,Snuff with Flowers Perfuming,Olfactive,Odour\_Carrier,8.0,another manner perfuming snuff flowers,snuff flowers perfuming
436,436.0,975.0,056E Thomas Reid 1764 An inquiry into the human mind__102_distribution_SCIE.txt,14.0,"Let us therefore suppose , as before , a person to exercise the sense of smelling : a little experience will discover to him , that the nose is the organ of this sense , and that the air , or something in the air , is a medium of it .",smelling,Olfactive,Smell\_Word,52.0,let us therefore suppose person exercise sense smelling little experience discover nose organ sense air something air medium,smelling
