,Unnamed: 0,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len,clean_sentence,clean_token
288,288.0,677.0,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,52.0,"He narrates a case of shoe fetichism in a man in which the perversion began at the age of 6 , when for the first time he wore new shoes , having previously used only the left-off shoes of his elder brother ; he felt and smelt these new shoes with sensations of unmeasured pleasure ; and a few years later began to use shoes as a method of masturbation .",these new shoes smelt,Olfactive,Smell\_Source,71.0,narrates case shoe fetichism man perversion began age first time wore new shoes previously used only leftoff shoes elder brother felt smelt new shoes sensations unmeasured pleasure years later began use shoes method masturbation,new shoes smelt
51,51.0,118.0,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,82.0,"On the ' 27th July , I examined some of the water 13 from the well , it smelt as if it had been recently dipped from a sewer .",as if it had been recently dipped from a sewer some of the water 13 it smelt,Olfactive,Evoked\_Odorant,30.0,july examined water well smelt recently dipped sewer,recently dipped sewer water smelt
269,269.0,627.0,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,30.0,"The sexual odors , indeed , of most animals seem to be modifications of musk .",sexual of musk odors,Olfactive,Quality,16.0,sexual odors indeed animals seem modifications musk,sexual musk odors
241,241.0,556.0,015E 1839 Papers relating to the fetid irrigations around the city of Edinburgh__165_PUB.txt,15.0,"There were frequent conversations among the officers respecting this offensive smell , and in particular they expressed their surprise that the barracks should be built so near to such a nuisancer The surprise of the officers of the 4th has been shared , we believe , as already stated , by those of every regiment that ever was quartered in that unwholesome station ; but the wonder ought to be why no attempt has ever been made by the Government authorities to remove the evident and only cause of insalubrity — the surrounding marsh .",offensive smell,Olfactive,Quality,95.0,frequent conversations among officers respecting offensive smell particular expressed surprise barracks built near nuisancer surprise officers shared believe already stated every regiment ever quartered unwholesome station wonder ought no attempt ever made government authorities remove evident only cause insalubrity — surrounding marsh,offensive smell
384,384.0,866.0,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,7.0,Oil of Dill .,Oil of Dill,Olfactive,Smell\_Source,4.0,oil dill,oil dill
219,219.0,492.0,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,52.0,"Elder-Leaves are Fetid , yet the Flowers are very Fragrant ; so are the Flowers of Saponaria , though the Leaves resemble Elder .",very Elder-Leaves the Flowers the Flowers of Saponaria Fetid Fragrant,Olfactive,Quality,24.0,elderleaves fetid yet flowers fragrant flowers saponaria though leaves resemble elder,elderleaves flowers flowers saponaria fetid fragrant
185,185.0,404.0,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,113.0,"The Milky or Resinous Exulcerators , have an Oyl more fixt , joyned to an Acid-Acrid Salt ; as Tithymalus , and Esula ; and these smell Acid , rather than of any hot Scent .",Acid hot The Milky or Resinous Exulcerators Tithymalus Esula these smell Scent,Olfactive,Quality,36.0,milky resinous exulcerators oyl fixt joyned acidacrid salt tithymalus esula smell acid rather hot scent,acid hot milky resinous exulcerators tithymalus esula smell scent
56,56.0,130.0,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,13.0,"And linked in memory with that evening ’ s glory there comes , like the gentle strain of a long-forgotten song , the rich , pungent smell of turf-smoke eddying blue from low chimneys into the soft air of the twilight .",into the soft air of the twilight rich pungent of turf-smoke smell,Olfactive,Odour\_Carrier,42.0,linked memory evening ’ glory comes like gentle strain longforgotten song rich pungent smell turfsmoke eddying blue low chimneys soft air twilight,soft air twilight rich pungent turfsmoke smell
270,270.0,630.0,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,31.0,The Sphinx moth has a musky odor which is confined to the male and is doubtless sexual .,musky sexual The Sphinx moth odor,Olfactive,Quality,18.0,sphinx moth musky odor confined male doubtless sexual,musky sexual sphinx moth odor
540,540.0,1233.0,068E Alfred Swaine Taylor 1859 On Poisons__531_distribution_LAW.txt,28.0,"On opening the body , the smell of the acid was at once perceptible .",perceptible of the acid smell,Olfactive,Quality,15.0,opening body smell acid perceptible,perceptible acid smell
343,343.0,797.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,79.0,"But , however caused , the excess of fibrin is probably a predisposing or exciting cause of the fetor .",fetor,Olfactive,Smell\_Word,20.0,however caused excess fibrin probably predisposing exciting cause fetor,fetor
323,323.0,754.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,30.0,All writers speak of this dreadful smeii in true pulmonary gangrene ; but none ever describe it as faecal except Louis .,dreadful faecal smeii it,Olfactive,Quality,22.0,writers speak dreadful smeii true pulmonary gangrene none ever describe faecal except louis,dreadful faecal smeii
149,149.0,317.0,011E James Manning 1604 A NEW BOOKE intituled I am for you all Complexions__28_MED.txt,14.0,"IF the putrefaction in the ayre be more hot then moist , then it is more apt to destroy , and to be taken by the nostrills : first , because the heat is subtile , and passeth vp speedily to the pellicle , and mooueth with the fume or moisture .",in the ayre putrefaction,Olfactive,Odour\_Carrier,52.0,putrefaction ayre hot moist apt destroy taken nostrills first because heat subtile passeth vp speedily pellicle mooueth fume moisture,ayre putrefaction
17,17.0,35.0,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,128.0,"The rape and linseed fall from the bags on to the ground , which is unpaved , lie there and rot ; and after a shower of rain , the stench is most offensive .",most offensive stench,Olfactive,Quality,35.0,rape linseed fall bags ground unpaved lie rot shower rain stench offensive,offensive stench
147,147.0,315.0,011E James Manning 1604 A NEW BOOKE intituled I am for you all Complexions__28_MED.txt,11.0,"Secondly , the instrument of smelling is placed deeper in the head , then in any other creatures .",smelling,Olfactive,Smell\_Word,19.0,secondly instrument smelling placed deeper head creatures,smelling
376,376.0,854.0,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,32.0,"Colourless or pale yellow when recent , but gradually becoming darker , with the odour of the fruit , and a spicy somewhat acrid taste .",odour,Olfactive,Smell\_Word,26.0,colourless pale yellow recent gradually becoming darker odour fruit spicy somewhat acrid taste,odour
65,65.0,149.0,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,29.0,"Further , as recent investigators have shown us , the loathsome and deadly typhus fever , known for years to be a “ filth-disease , ” is carried by lice , which pests breed and flourish where bodily cleanliness is neglected and personal odours are strong .",personal strong odours,Olfactive,Quality,47.0,recent investigators shown us loathsome deadly typhus fever known years “ filthdisease ” carried lice pests breed flourish bodily cleanliness neglected personal odours strong,personal strong odours
265,265.0,616.0,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,27.0,Galopin stated that he knew women whose natural odor of musk ( and less frequently of ambergris ) was sufficiently strong to impart to a bath in less than an hour a perfume due entirely to the exhalations of the musky body ; it must be added that Galopin was an enthusiast in this matter .,natural sufficiently strong of musk of ambergris odor,Olfactive,Quality,56.0,galopin stated knew women whose natural odor musk less frequently ambergris sufficiently strong impart bath less hour perfume due entirely exhalations musky body must added galopin enthusiast matter,natural sufficiently strong musk ambergris odor
231,231.0,527.0,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,7.0,"In Panax coloni , and Sideritis , there is the same Dead-Nettle Smell ; and in Galeopsis both Smells are perceivable .",Dead-Nettle perceivable Panax coloni Sideritis Galeopsis Smell Smells,Olfactive,Quality,22.0,panax coloni sideritis deadnettle smell galeopsis smells perceivable,deadnettle perceivable panax coloni sideritis galeopsis smell smells
354,354.0,818.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,94.0,"Speculations have naturally arisen as to the immediate origin and composition of the volatile matter which causes the stench ; and as the blood is easily impregnated with volatile stuff , it is readily concluded that it comes from the blood .",the volatile matter the blood stench impregnated,Olfactive,Smell\_Source,42.0,speculations naturally arisen immediate origin composition volatile matter causes stench blood easily impregnated volatile stuff readily concluded comes blood,volatile matter blood stench impregnated
127,127.0,270.0,008E Anon 1779 A short history of drugs.txt_distribution.txt,79.0,OLIBANUM .,OLIBANUM,Olfactive,Smell\_Source,2.0,olibanum,olibanum
124,124.0,264.0,008E Anon 1779 A short history of drugs.txt_distribution.txt,75.0,"Is a concrete gummy rosinous Juice , of various Colours and Sizes , the Produce of Persia , of a fine aromatic Smell , and bitter aromatic Taste ; the best that has been brought home for ten Years past was in solid lumps , from the Size of a Nutmeg to that of a Pigeon ' s Egg , of a palish yellow Colour , and when broke appeared in the Inside of a whitish mealy Substance ; though where it breaks of a deep Orange-colour , and of a firmer Texture , and shining , it is much more preferable .",fine aromatic Smell,Olfactive,Quality,103.0,concrete gummy rosinous juice various colours sizes produce persia fine aromatic smell bitter aromatic taste best brought home ten years past solid lumps size nutmeg pigeon egg palish yellow colour broke appeared inside whitish mealy substance though breaks deep orangecolour firmer texture shining much preferable,fine aromatic smell
8,8.0,16.0,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,43.0,"The sweet root we are alwayes to carry about us , is the root of the flower of Jesse : the savoury wood we are to smell unto , is the wood of the Crosse , that is , the tree of life in the midst of our Paradise .",the wood of the Crosse smell,Olfactive,Smell\_Source,50.0,sweet root alwayes carry us root flower jesse savoury wood smell unto wood crosse tree life midst paradise,wood crosse smell
331,331.0,773.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,49.0,"The bacterides may , however , be a cause of those kinds in wliich the gangrenous cavity has no contact with the external air and there is no fetor , inasmuch as they are abundantly present in the blood in carbuncular gangrene , and which sometimes affects the lungs .",the gangrenous cavity fetor,Olfactive,Smell\_Source,50.0,bacterides may however cause kinds wliich gangrenous cavity no contact external air no fetor inasmuch abundantly present blood carbuncular gangrene sometimes affects lungs,gangrenous cavity fetor
577,578.0,1318.0,080E Duncan Mcdonald 1800 New town cook__214_distribution_HOUS.txt,14.0,"Prawns and Shrimps , if they are hard and stiff , of a pleasant scent , and their tails turned strongly inward , are new ; but if they are limber , their colour faded , of a faint smell , and feel slimy , they are stale .",pleasant faint Prawns Shrimps scent smell,Olfactive,Quality,49.0,prawns shrimps hard stiff pleasant scent tails turned strongly inward new limber colour faded faint smell feel slimy stale,pleasant faint prawns shrimps scent smell
575,576.0,1313.0,079E William Black 1835 A practical treatise on brewing__72_distribution_HOUS.txt,8.0,"The majority , perhaps , are not the best judges ; indeed I have seen men so devoid of both taste and smell , that it made very little difference , whether putrid or fresh food were presented to them .",putrid or fresh food smell,Olfactive,Smell\_Source,41.0,majority perhaps not best judges indeed seen men devoid taste smell made little difference whether putrid fresh food presented,putrid fresh food smell
477,477.0,1084.0,061E Hugh Plat 1602 Delightes for Ladies__22_distribution_PER.txt,12.0,"STampe the hearb , put the same into a large glasse , leauing two parts emptie ( some commend the iuice of the hearbe onely ) nip or else lute the glasse very wel , digest it in balneo . 15 . or 16 . daies , and you shall finde the same very red , diuide the watrish part , and that which remaineth is the bloud or essence of the hearb . 23 .",of the hearb essence,Olfactive,Smell\_Source,76.0,stampe hearb put large glasse leauing two parts emptie commend iuice hearbe onely nip else lute glasse wel digest balneo daies shall finde red diuide watrish part remaineth bloud essence hearb,hearb essence
71,71.0,161.0,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,5.0,And there sticks horrible to my memory the fumous and steamy stench of parboiled cabbage that filled the restaurant-car of the train for Belfast—yes !,fumous steamy of parboiled cabbage stench,Olfactive,Quality,25.0,sticks horrible memory fumous steamy stench parboiled cabbage filled restaurantcar train belfast—yes,fumous steamy parboiled cabbage stench
236,236.0,542.0,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,9.0,"Many Turpentine Balsams are of an Aromatick Smell , as Balsam de Tolu , Balsam Mechae , Balsam Peruvian , Benjamin , Storax ; and many Herbs , as Ladanum segetum , and Botrys , which have a Fragrant Terebinthinate Smell ; and so has Juniper , Cedar , and Sassafras ; besides Oyl of Turpentine will easily extract these Fragrant Oyls from Vegetables , and is frequently mixt with them by Sophistications ; whence I may argue , that they differ only as Turpentine is mixt with a latent Acid ; and as the other are more pure from Acid ; and therefore more Aethereal or Odoriferous : The Roots of Valerian smell like Turpentine , and the Flowers like Jessamy a little dryed .",like Turpentine like Jessamy Oyl of Turpentine Aromatick Fragrant Terebinthinate Many Turpentine Balsams Balsam de Tolu Balsam Mechae Balsam Peruvian Benjamin Storax many Herbs Ladanum segetum Botrys Juniper Cedar Sassafras Oyls Turpentine The Roots of Valerian the Flowers Smell Smell Fragrant Odoriferous smell,Olfactive,Evoked\_Odorant,126.0,many turpentine balsams aromatick smell balsam de tolu balsam mechae balsam peruvian benjamin storax many herbs ladanum segetum botrys fragrant terebinthinate smell juniper cedar sassafras besides oyl turpentine easily extract fragrant oyls vegetables frequently mixt sophistications whence may argue differ only turpentine mixt latent acid pure acid therefore aethereal odoriferous roots valerian smell like turpentine flowers like jessamy little dryed,like turpentine like jessamy oyl turpentine aromatick fragrant terebinthinate many turpentine balsams balsam de tolu balsam mechae balsam peruvian benjamin storax many herbs ladanum segetum botrys juniper cedar sassafras oyls turpentine roots valerian flowers smell smell fragrant odoriferous smell
472,472.0,1067.0,060E Eugene Rimmel 1865 The Book of Perfumes__964_distribution_PER.txt,2.0,"To perfumers it is a most valuable assistant , possessing in the highest degree a fresh floral fragrance , which renders it highly useful in compounds .",fresh floral it fragrance,Olfactive,Quality,27.0,perfumers valuable assistant possessing highest degree fresh floral fragrance renders highly useful compounds,fresh floral fragrance
389,389.0,874.0,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,90.0,The oil distilled in Britain from the full-grown unripe green fruit of Juniperus communis .,the full-grown unripe green fruit of Juniperus communis,Olfactive,Smell\_Source,15.0,oil distilled britain fullgrown unripe green fruit juniperus communis,fullgrown unripe green fruit juniperus communis
75,75.0,169.0,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,56.0,"Even in France , France the enlightened , the sensitive , the refined , primitive odours pervade the country , as our Army knows very well .",primitive odours,Olfactive,Quality,27.0,even france france enlightened sensitive refined primitive odours pervade country army knows well,primitive odours
398,398.0,889.0,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,15.0,"In the Nymphalidae , or great group of butterflies with rudimentary forelegs , we find some of the common cosmopolitan Dana ' inse have dactylate hollow processes at the abdominal extremity , which are furnished with hairs , and on protrusion emit a disagreeable odour ; and sexual pouches , possibly in connection , exist on the first median nervure of the hind wing in a few species ; both being seen in the tawny Danais , that extends its range to Southern Europe .",disagreeable hairs protrusion odour,Olfactive,Quality,85.0,nymphalidae great group butterflies rudimentary forelegs find common cosmopolitan dana inse dactylate hollow processes abdominal extremity furnished hairs protrusion emit disagreeable odour sexual pouches possibly connection exist first median nervure hind wing species seen tawny danais extends range southern europe,disagreeable hairs protrusion odour
308,308.0,719.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,102.0,"This fact is no ground , however , for the conclusions , that there is nothing special in the odour of fetid bronchitis or its causes , and that we must abandon that term as perplexing , unscientific , and unphilosophical , for the more correct phrase 	_	_	_	
102-49	16963-16973	bronchitis	_	_	_	
102-50	16974-16978	with	_	_	_	
102-51	16979-16984	fetid	Smell\_Word[130]|Quality[131]	*|*	102-51[131_130]|102-52[0_130]	
102-52	16985-16998	expectoration	Smell\_Source	_	_	
102-53	16998-16999	.	_	_	_	
102-54	16999-17000	",of fetid bronchitis odour,Olfactive,Smell\_Source,82.0,fact no ground however conclusions nothing special odour fetid bronchitis causes must abandon term perplexing unscientific unphilosophical correct phrase bronchitis fetid smellwordquality expectoration smellsource,fetid bronchitis odour
15,15.0,31.0,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,116.0,"The drainage of these two dwellings runs from the back to the front , through an open wooden trough under the floor of the lower rooms , and discharges itself by a sort of pigeon-hole in the wall into the street ; the neighbours and passengers complain of the stench generated by the drainage stagnating on the pavement and in the gutter .",the drainage stagnating on the pavement and in the gutter stench,Olfactive,Smell\_Source,63.0,drainage two dwellings runs back front open wooden trough floor lower rooms discharges sort pigeonhole wall street neighbours passengers complain stench generated drainage stagnating pavement gutter,drainage stagnating pavement gutter stench
591,592.0,1355.0,083E Estelle D Buchanan 1913 Household bacteriology__75_distribution_HOUS.txt,3.0,"These organisms likewise may interfere with the preservation of food , by changing its consistency , its flavor or odor , or even by producing definite poisonous decomposition products termed ptomaines .",its odor,Olfactive,Smell\_Source,32.0,organisms likewise may interfere preservation food changing consistency flavor odor even producing definite poisonous decomposition products termed ptomaines,odor
44,44.0,101.0,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,45.0,"A slight effluvium of sulphurous gases was given off , but it did not last long nor extend itself beyond the building .",slight of sulphurous gases effluvium,Olfactive,Quality,23.0,slight effluvium sulphurous gases given not last long nor extend beyond building,slight sulphurous gases effluvium
46,46.0,107.0,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,66.0,"During the hot weather , this heap exhaled a smell most offensive to the inmates of the neighbouring houses .",most offensive this heap smell,Olfactive,Quality,20.0,hot weather heap exhaled smell offensive inmates neighbouring houses,offensive heap smell
554,554.0,1264.0,073E Samuel Lee 1673 Ecclesia Gemens__31_distribution_REL.txt,3.0,All the Persumes of Arabia can ' t hide or choak her stink,her Persumes stink,Olfactive,Smell\_Source,13.0,persumes arabia hide choak stink,persumes stink
139,139.0,294.0,009E Erasmus Darwin 1794 Zoonomia or the laws of organic life London 1794 ECCO TCP_MED.txt,31.0,"Any one may observe this , when very young infants are about to suck ; for at those early periods of life , the sensation affects the organ of smell , much more powerfully , than after the repeated habits of smelling has inured it to odours of common strength : and in our adult years , the stronger smells , though they are at the same time agreeable to us , as of volatile spirits , continue to produce an increased secretion of tears .",of common strength the stronger at the same time agreeable the sensation smell smelling odours smells they,Olfactive,Quality,86.0,one may observe young infants suck early periods life sensation affects organ smell much powerfully repeated habits smelling inured odours common strength adult years stronger smells though time agreeable us volatile spirits continue produce increased secretion tears,common strength stronger time agreeable sensation smell smelling odours smells
339,339.0,788.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,7.0,"Since the structural disease is constitutional , it is fair to conclude that the predisposing causes of the peculiar fetid excretion are constitutional , and are linked etiologically with the fibroid change of tissue .",peculiar excretion fetid,Olfactive,Quality,35.0,since structural disease constitutional fair conclude predisposing causes peculiar fetid excretion constitutional linked etiologically fibroid change tissue,peculiar excretion fetid
150,150.0,319.0,011E James Manning 1604 A NEW BOOKE intituled I am for you all Complexions__28_MED.txt,15.0,"Secondly , for that the heat doth resist the coldnes and moisture of the braine , the which are hinderers of smelling .",smelling,Olfactive,Smell\_Word,23.0,secondly heat doth resist coldnes moisture braine hinderers smelling,smelling
325,325.0,759.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,33.0,"I suspect , however , that these cases were examples of pyogenic cavities , or dilated bronchi , and not gangrene ; for it is probable these pyogenic membranes give forth the same purulent stuff as the bronchial mucous membrane in cases of fetid bronchitis .",bronchitis fetid,Olfactive,Smell\_Source,46.0,suspect however cases examples pyogenic cavities dilated bronchi not gangrene probable pyogenic membranes give forth purulent stuff bronchial mucous membrane cases fetid bronchitis,bronchitis fetid
52,52.0,121.0,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,89.0,"The only stench perceived by me on the 27th July , was a strong odour of sugar scum issuing from some of the arches .",strong of sugar scum stench odour,Olfactive,Quality,25.0,only stench perceived july strong odour sugar scum issuing arches,strong sugar scum stench odour
382,382.0,863.0,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,58.0,Croton Oil .,Croton Oil,Olfactive,Smell\_Source,3.0,croton oil,croton oil
476,476.0,1080.0,061E Hugh Plat 1602 Delightes for Ladies__22_distribution_PER.txt,1.0,"VPon the top of your glasse bodie , straine a haire cloth , and vpon that lay good store of Roseleaues , either drie , or halfe drie , and so your water will ascend verie good both in smell and in colour .",water verie good Roseleaues smell,Olfactive,Odour\_Carrier,44.0,vpon top glasse bodie straine haire cloth vpon lay good store roseleaues either drie halfe drie water ascend verie good smell colour,water verie good roseleaues smell
557,558.0,1272.0,076E Henry Dodwell 1711 Incense 2__41_distribution_REL.txt,11.0,"Such as proceeds not from the Bag , bat from the Heart which is the Produaf not offinking Cattle , but perfumed Manners ; Ihich is not offered with bloody Hands , but ptre understanding ; Which is not killed that it may be deflroyed , but as Isaac was , is Sacrificed that it may live .",Manners perfumed,Olfactive,Smell\_Source,58.0,proceeds not bag bat heart produaf not offinking cattle perfumed manners ihich not offered bloody hands ptre understanding not killed may deflroyed isaac sacrificed may live,manners perfumed
307,307.0,717.0,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,101.0,"Dr Gamgee has , however , demonstrated , what was already plain enough to all acquainted with the facts , that we can get stinks from any pulmonary excretion whatever , if we subject them to the same chemical torments of distillation , acidification , neutralization , redistillation , and the like .",from any pulmonary excretion stinks,Olfactive,Smell\_Source,53.0,dr gamgee however demonstrated already plain enough acquainted facts get stinks pulmonary excretion whatever subject chemical torments distillation acidification neutralization redistillation like,pulmonary excretion stinks
121,121.0,257.0,008E Anon 1779 A short history of drugs.txt_distribution.txt,50.0,"Chuse as above , for if you meet with it mixed with Dirt , Sticks , Bits of Cane , or other Rubbish , it will reduce the Value ; the more Aromatic it smells the better : that which is fine , has Tears in it , like other East India Gums .",like other East India Gums it smells,Olfactive,Evoked\_Odorant,54.0,chuse meet mixed dirt sticks bits cane rubbish reduce value aromatic smells better fine tears like east india gums,like east india gums smells
407,407.0,911.0,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,27.0,"Bristling scent pencils , however , are most characteristic of the moths , and these usually distinguish the males , although , being commonly retained in their pouches , their presence is little suspected until they have been pricked out with a needle-point ; but in the twilight Sphinges , especially quick of nerve , they are sometimes found present in both sexes , and sharp fear , as we touch or grasp the ilower-hoverer reposing in diurnal lethargy , will cause their momentary expansion .",pencils scent,Olfactive,Smell\_Source,86.0,bristling scent pencils however characteristic moths usually distinguish males although commonly retained pouches presence little suspected pricked needlepoint twilight sphinges especially quick nerve sometimes found present sexes sharp fear touch grasp ilowerhoverer reposing diurnal lethargy cause momentary expansion,pencils scent
