,Unnamed: 0,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len,spellchecked_text,clean_sentence,clean_token
403,403,900,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,22,"On seizing one of these butterflies of either sex , it pushes from between the fourth and fifth segment of the abdomen two hemispherical protuberances producing a disagreeable odour ; and the male has a second pair between the fifth and sixth segments of the abdomen , while a different musk-like odour is produced by a black spot beneath the front wings .",musk-like disagreeable two hemispherical protuberances by a black spot beneath the front wings odour odour,Olfactive,Evoked\_Odorant,63,musk-like disagreeable two hemispherical protuberances by a black spot beneath the front wings odor odor,seize butterfly sex push fourth fifth segment abdomen hemispherical protuberance produce disagreeable odor male second pair fifth sixth segment abdomen different musk like odor produce black spot wing,musk like disagreeable hemispherical protuberance black spot wing odor odor
598,599,1370,085E Gervase Markham 1631 A new orchard__20_distribution_HOUS.txt,5,"I haue of them nine or ten seuerall colours , and diuers of them as big as Roses : of all flowers ( saue the Damaske Rose ) they are the most pleasant to sight and smell : they last not past three or foure yeeres vnremoued .",the most pleasant they smell,Olfactive,Quality,48,the most pleasant they smell,color diver big rose flower damask rise pleasant sight smell year unremoved,pleasant smell
138,138,293,009E Erasmus Darwin 1794 Zoonomia or the laws of organic life London 1794 ECCO TCP_MED.txt,30,"The organ of smell is irritated by this perfume , and the lacrymal sack empties itself into the nostrils , as before explained , and an increase of tears is poured into the eyes .",perfume,Olfactive,Smell\_Word,35,perfume,organ smell irritate perfume lacrymal sack empty nostril explain increase tear pour eye,perfume
294,294,689,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,59,"Niieke mentions that a colleague of his was informed by a prostitute that several of her clients desired the odor of new shoes in the room , and that she was accustomed to obtain the desired perfume by holding her shoes for a moment over the flame of a spirit lamp .",desired of new shoes odor perfume,Olfactive,Quality,52,desired of new shoes odor perfume,niece mention colleague inform prostitute client desire odor new shoe room accustom obtain desire perfume hold shoe moment flame spirit lamp,desire new shoe odor perfume
520,520,1190,067E Richardson 1910 War Police and Watch Dogs__119_distribution_LAW.txt,1,"It will be readily seen that night-time is the most favourable for the retention of scent , as evaporation does not take place so rapidly then , and this , of course , as I have shown , is why dogs are more especially useful at this time .",scent,Olfactive,Smell\_Word,49,scent,readily see nighttime favorable retention scent evaporation place rapidly course show dog especially useful time,scent
37,37,82,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,296,"The men were making manure in open vessels , and the smell in the street was so offensive , that remarks thereon were uttered by almost every passenger .",so offensive manure in open vessels smell,Olfactive,Quality,29,so offensive manure in open vessels smell,man make manure open vessel smell street offensive remark utter passenger,offensive manure open vessel smell
543,543,1238,070E Thomas Shadwell 1673 Epsom wells__16_distribution_THE.txt,13,"To have my Closet stink like a Pothecaries shop with Drugs and Medicines , to administer to my sick Neighbours ; and spoil the next Quacks practice with the receipt book that belongs to the family .",like a Pothecaries shop with Drugs and Medicines Closet stink,Olfactive,Evoked\_Odorant,37,like a apothecaries shop with Drugs and Medicines Closet stink,closet stink apothecary shop drug medicine administer sick neighbor spoil quack practice receipt book belong family,apothecary shop drug medicine stink
406,406,908,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,26,"Passing to the Burnet kind , a like incarnation of the union of night and day , the males of exotic Glaucopidae have two long retractable filaments , generally beset with hairs , on the ventral side of the abdomen , sometimes emitting a strong odour .",strong hairs odour,Olfactive,Quality,47,strong hairs odor,pass burnet kind like incarnation union night day male exotic glaucopidae long retractable filament generally beset hair ventral abdomen emit strong odor,strong hair odor
509,509,1160,065E Ernest J Parry 1925 Parry's Cyclopedia of Perfumery__1321_distribution_PER.txt,5,"It is invariably based on coumarin , modified by lavender , bergamot , and other perfumes , according to the exact note the perfumer wishes to give to his product .",other lavender bergamot perfumes,Olfactive,Quality,31,other lavender bergamot perfumes,invariably base coumarin modify lavender bergamot perfume accord exact note perfumer wish product,perfume
586,587,1344,083E Estelle D Buchanan 1913 Household bacteriology__75_distribution_HOUS.txt,12,Indol and methyl indol or skatol are commonly formed from native proteins or peptones in the absence of carbohydrates by many organisms .,Indol and methyl indol or skatol,Olfactive,Smell\_Source,23,idol and methyl idol or skatole,methyl idol skatole commonly form native protein peptone absence carbohydrate organism,methyl idol skatole
84,84,192,008E Anon 1779 A short history of drugs.txt_distribution.txt,10,"Is a concrete gummy substance , of a strong faetid smell , resembling Onions , or rather Shallots , in small Drops or Tears ; but when packt forms a massy lump .",Onions Shallots strong faetid smell,Olfactive,Evoked\_Odorant,33,Onions Shallots strong fetid smell,concrete gummy substance strong fetid smell resemble onion shallot small drop tear pack form massy lump,onion shallot strong fetid smell
112,112,240,008E Anon 1779 A short history of drugs.txt_distribution.txt,179,"A pale yellowish Wood , of a pleasant Smell , bitterish aromatic Taste , which leaves an agreeable kind of Pungency ; it is generally brought in large thick Logs , and Care should be taken that it is quite sound and solid .",pleasant Smell,Olfactive,Quality,44,pleasant Smell,pale yellowish wood pleasant smell bitter aromatic taste leave agreeable kind pungency generally bring large thick log care take sound solid,pleasant smell
345,345,800,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,80,These remarks refer chiefly to cases of pulmonary fetor in which changes of structure have been observed .,pulmonary fetor,Olfactive,Quality,18,pulmonary fetor,remark refer chiefly case pulmonary fetor change structure observe,pulmonary fetor
569,570,1299,078E E. T. 1734 The Art and Mystery of vintners and wine coopers__64_distribution_HOUS.txt,2,"The Inconvenience is , that the Wine becomes more heady , for which Elder Flowers added to the Clary is a Remedy , which also betters the Fragancy thereof , as ’ tis manifest in Elder-Vinegar ; but these Flowers are apt to make the Wine ropy .",Elder Flowers which Fragancy,Olfactive,Smell\_Source,48,Elder Flowers which fragrance,inconvenience wine heady eld flower add clary remedy better fragrance thereof manifest elder vinegar flower apt wine ropy,eld flower fragrance
531,531,1215,068E Alfred Swaine Taylor 1859 On Poisons__531_distribution_LAW.txt,12,"There is , however , a difference between these odours ; but the difference is not perceptible to the senses of all , and the only practical point requiring notice is , that the diluted odour of bitter almonds would probably be pronounced by many persons to indicate the presence of prussic acid , especially if there existed any suspicion of violent death .",prussic acid diluted of bitter almonds odours odour,Olfactive,Odour\_Carrier,64,prussic acid diluted of bitter almonds odors odor,difference odor difference perceptible sense practical point require notice diluted odor bitter almond probably pronounce person indicate presence prussic acid especially exist suspicion violent death,prussic acid dilute bitter almond odor odor
203,203,451,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,35,"Aromatick-Astringents : As Aromaticks , they are Cordial ; and from their Astringency , they strengthen the Fibres of the Stomach and Membranes , and all Nervous Parts ; and by an Acid evident in their Astringency , they hinder the greater Rarefaction of the Blood by their fragrant pungent Oyl .",fragrant pungent Aromatick-Astringents their Oyl,Olfactive,Quality,52,fragrant pungent Aromatick-Astringents their oil,astringent aromatic cordial astringency strengthen fire stomach membrane nervous part acid evident astringency hinder great rarefaction blood fragrant pungent oil,fragrant pungent astringent oil
493,493,1127,063E Pierre Joseph Buchoz 1784 The Toilet of Flora__172_distribution_PER.txt,7,"As Spanish Snuff is very fine and of a redish colour , to imitate it nicely , take the best Dutch Snuff , well cleansed , granulated , and coloured red ; beat it fine , and sift it through a very fine lawn sieve .",the best Dutch Snuff,Olfactive,Odour\_Carrier,46,the best Dutch Snuff,spanish snuff fine relish color imitate nicely good dutch cleanse granulate coloured red beat fine sift fine lawn sieve,good
558,559,1274,076E Henry Dodwell 1711 Incense 2__41_distribution_REL.txt,3,To burn Incense to those who have no Breath by which they might smell it ?,Incense it smell,Olfactive,Smell\_Source,16,Incense it smell,burn incense breath smell,incense smell
534,534,1223,068E Alfred Swaine Taylor 1859 On Poisons__531_distribution_LAW.txt,16,"These facts appear to me to explain , — why , on being called to a case of poisoning by this acid , or during the examination of a body , some medical men perceive the odour while others do not .",odour,Olfactive,Smell\_Word,42,odor,fact appear explain call case poisoning acid examination body medical man perceive odor,odor
207,207,459,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,41,"That a Fetor , in the highest Degree , has also a Volatile Salt admixt , is proved by the Excrements of Animals , putrefied Flesh , rine , Blood , and putrefied Vegetables ; which yield a Volatile Salt .",in the highest Degree the Excrements of Animals putrefied Flesh rine Blood putrefied Vegetables Fetor,Olfactive,Quality,41,in the highest Degree the excrement of Animals putrefied Flesh fine Blood putrefied Vegetables Fetor,fetor high degree volatile salt admit prove excrement animal putrefy flesh fine blood putrefy vegetable yield volatile salt,high degree excrement animal putrefy flesh fine blood putrefy vegetable fetor
503,503,1144,064E 1787 A new collection of the most easy and approved methods of preparing__167_distribution_PER.txt,7,"A pleasant Perfume , Take a drachm of Musk , four Cloves , four ounces of Lavender-seed , a drachm and a half of Civet , and half a drachm of Ambergris ; heat your pestle and mortar , and rub the Musk , Cloves , and Lavender-seeds , together , with a lump of Loaf Sugar and a wine-glass full of Angelic or Rose-water .",pleasant of Musk four Cloves four ounces of Lavender-seed a drachm and a half of Civet half a drachm of Ambergris Musk Cloves Lavender-seeds a lump of Loaf Sugar a wine-glass full of Angelic or Rose-water Perfume,Olfactive,Quality,66,pleasant of Musk four Cloves four ounces of Lavender-seed a drachm and a half of Civet half a drachm of Ambergris Musk Cloves Lavender-seeds a lump of Loaf Sugar a wineglass full of Angelic or rosewater Perfume,pleasant perfume drachm musk clove ounce lavender seed drachm half civet drachm heat pestle mortar rub musk clove lavender seed lump loaf sugar wineglass angelic rosewater,pleasant musk clove ounce lavender seed drachm half civet drachm clove lavender seed lump loaf sugar wineglass angelic rosewater perfume
130,130,276,008E Anon 1779 A short history of drugs.txt_distribution.txt,83,"A concrete gummy rosinous Juice , the Produce of Persia ; the best brought home , by the way of the East Indies , is in reddish or Orange-coloured Drops or Tears , and when broke the Inside appears of a pale yellow , intermixed with white Specks ; it has a very fragrant Smell , something like Sellery Roots , and a pleasant bitter acrid Taste .",something like Sellery Roots very fragrant it Smell,Olfactive,Evoked\_Odorant,68,something like seller Roots very fragrant it Smell,concrete gummy resinous juice produce persia good bring home way east indie reddish orange coloured drop tear break inside appear pale yellow intermix white speck fragrant smell seller root pleasant bitter acrid taste,seller root fragrant smell
517,517,1180,066E Frederick William Burbidge 1905 The Book of the Scented Garden__817_distribution_PER.txt,5,Both leaf and flower perfume depends on the same essential oil being in different states or conditions .,oil same leaf flower perfume essential,Olfactive,Odour\_Carrier,18,oil same leaf flower perfume essential,leaf flower perfume depend essential oil different state condition,oil leaf flower perfume essential
125,125,266,008E Anon 1779 A short history of drugs.txt_distribution.txt,76,"There is also a brown sort , which appears of the same mealy Substance , and sells near as well The second Sort has the same Colour , Taste , and Smell ; but the Inside appears more glassy and solid , and generally in less Lumps .",same Smell,Olfactive,Quality,48,same Smell,brown sort appear mealy substance sell second sort color taste smell inside appear glassy solid generally lump,smell
450,450,1006,057E Charles Lillie 1822 The British Perfumer__716_distribution_PER.txt,9,"It has also , with its own proper perfume , a very distinguishing smell of urine .",of urine own proper a very distinguishing It perfume smell,Olfactive,Evoked\_Odorant,17,of urine own proper a very distinguishing It perfume smell,proper perfume distinguish smell urine,urine distinguish perfume smell
20,20,42,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,16,"When these factories are in full activity , as they are from the month of December to July , the stores of stinking ingredients used by the manufacturers , 9 give a permanent smell to some parts of the street , and when the mixing goes on , the action of the sulphuric acid upon the animal and vegetable matter gives out a stench , which has occasioned headache , nausea , vomiting and cough to some of the inmates of the houses adjacent to the factories .",stinking permanent ingredients smell stench,Olfactive,Quality,88,stinking permanent ingredients smell stench,factory activity month store stink ingredient manufacturer permanent smell part street mixing go action sulfuric acid animal vegetable matter give stench occasion headache nausea vomiting cough inmate house adjacent factory,stink permanent ingredient smell stench
4,4,8,003E Stephen Bradwell 1636 PHYSICK FOR THE SICKNESSE Commonly called the PLAGUE.txt_distribution.txt,86,"So Hippocrates ( in the 2d . of his Epidem . ) saith , that in Cranon a Citie of Thessalie , there arose putrid Vlcers , Pustuls , and Carbuncles , through the hot and moyst constitution of the ayre .",Vlcers Pustuls putrid,Olfactive,Smell\_Source,42,ulcers pustules putrid,hippocrate ad spider canon city thessalian arise putrid ulcer pustule carbuncle hot constitution,ulcer pustule putrid
169,169,362,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,37,"But yet if any purpose to practise this point , I wish him to go to the Arabians , who haue written so curiously concerning this point ; and it may be , in regard of their aromaticall drugs , their vrines may be of better taste then those of our Europaeans , who feed on grosser food .",drugs aromaticall,Olfactive,Smell\_Source,59,drugs aromatically,purpose practise point wish write curiously concern point regard aromatically drug vine well taste european feed gross food,drug aromatically
115,115,245,008E Anon 1779 A short history of drugs.txt_distribution.txt,34,"There is also Cassia Lignea that is of a very bright Colour and good Shape , which has little or no smell or Taste ; the breaking a handful of Sticks will ascertain the Quality almost as well as tasting , for where there is a fine Smell , there is always a strong Taste .",little fine Cassia Lignea smell Smell,Olfactive,Quality,56,little fine Cassia line smell Smell,cassia line bright color good shape little smell taste break handful stick ascertain quality tasting fine smell strong taste,little fine cassia line smell smell
9,9,18,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,5,"If a Noble man came to visit us , how would we cleanse and perfume our houses ?",perfume,Olfactive,Smell\_Word,18,perfume,noble man come visit cleanse perfume house,perfume
418,418,934,"051E C. F. Schoenbein 1843 On the odour accompanying electricity, and on the probability of its dependence on the presence of a new substance__40_distribution_SCIE.txt",4,"The only metals which yield this odour are gold and platina ; but dilute sulphuric , phosphoric , and nitric acids , and from aqueous solutions of several of the salts , also disengage it .","gold platina dilute sulphuric phosphoric , and nitric acids from aqueous solutions of several of the salts odour it",Olfactive,Smell\_Source,36,"gold platina dilute sulfuric phosphoric , and nitric acids from aqueous solutions of several of the salts odor it",metal yield odor gold platina dilute sulfuric phosphoric nitric acid aqueous solution salt disengage,dilute sulfuric phosphoric nitric acid aqueous solution salt odor
177,177,380,013E Edward Farnham 1656 The Compleat Doctoress__32_MED.txt,22,"the Matrix embraceth , and meeteth sweet odours and perfumes , but unsavory and stinking sents it abhors , and flies from ; for ' tis a most certaine truth , that every creature , even by naturall instinct , shunneth inconveniences , and affecteth things convenient .",sweet unsavory stinking odours perfumes sents,Olfactive,Quality,48,sweet unsavory stinking odors perfumes sent,matrix embrace meeteth sweet odor perfume unsavory stink send abhors fly certain truth creature natural instinct shun inconvenience affect thing convenient,sweet unsavory stink odor perfume send
327,327,763,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,35,"I must express a doubt , however , that these were cases of tubercular phthisis , for I have never observed the faecal odour in any such cases .",faecal odour,Olfactive,Quality,29,faecal odor,express doubt case tubercular phthisis observe faecal odor case,faecal odor
366,366,842,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,121,Oil of Spearmint .,Oil of Spearmint,Olfactive,Smell\_Source,4,Oil of Spearmint,oil spearmint,oil spearmint
32,32,69,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,266,"The ditch itself is clean and without smell , and receives the drainage of ten small houses .",The ditch smell,Olfactive,Smell\_Source,18,The ditch smell,ditch clean smell receive drainage small house,ditch smell
408,408,913,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,28,"Thus when the male Death ' s-Head Moth is on the point of Squeaking in our fingers , as its abdomen inflates , a sessile pencil of yellow hair starts from a fold between the dorsal and ventral arcs at the base ( Plate V . , Fig . 7b ) , expanding to a stellate form with swift whirling motion , like a trundled mop ( Fig . 7a ) ; and immediately there arises an oily volatile effluvia , resembling the scent of jessamines , but soon becoming nauseous .",of jessamines oily volatile nauseous effluvia scent,Olfactive,Evoked\_Odorant,92,of jessamines oily volatile nauseous effluvia scent,male death head moth point squeaking finger abdomen inflate sessile pencil yellow hair start fold dorsal ventral arc base plate v fig expand stellate form swift whirling motion trundle mop fig immediately arise oily volatile effluvia resemble scent jessamine soon nauseous,jessamine oily volatile nauseous effluvia scent
120,120,256,008E Anon 1779 A short history of drugs.txt_distribution.txt,48,GALBANUM .,GALBANUM,Olfactive,Smell\_Source,2,GALBANUM,galbanum,galbanum
157,157,336,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,21,"Nay so farre off is the stinking smell from giuing vs any particular notice of the disease , that it cannot so much as affoord vs any certaine generall knowledge of the same .",stinking smell,Olfactive,Quality,34,stinking smell,fare stinking smell give particular notice disease afford certain general knowledge,stink smell
214,214,478,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,48,"Divers Bitters are Fetid , as stinking Horehound ; and all Elder-Smells , as Scrophularia , are Bitter-Fetid : So the stinking Gums are Bitter , as well as Acrid and Fetid .",Fetid Bitter-Fetid stinking Acrid Fetid stinking Horehound Scrophularia Gums Elder-Smells,Olfactive,Quality,33,Fetid Bitter-Fetid stinking Acrid Fetid stinking Horehound Scrophularia Gums Elder-Smells,diver bitter fetid stink horehound elder smell bitter fetid stinking gum bitter acrid fetid,fetid bitter fetid stinking acrid fetid stinking horehound scrophularia gum elder smell
68,68,154,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,40,"We are here dealing , in fact , with a primitive protective impulse to ensure that evil-smelling things shall not be swallowed , and the means adopted by Nature to prevent that ingestion , or , if it has accidentally occurred , to reverse it , are prompt .",things evil-smelling,Olfactive,Smell\_Source,49,things evil-smelling,deal fact primitive protective impulse ensure evil smell thing swallow mean adopt nature prevent ingestion accidentally occur reverse prompt,thing evil smell
170,170,364,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,4,Stinking vrines come by foure seuerall meanes . 1 .,vrines Stinking,Olfactive,Smell\_Source,10,vines Stinking,stink vine come mean,vine stink
168,168,360,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,32,"But I am afraid the Reader will take it ill , that I so long detaine him among so vnpleasing smels ; and my selfe begin to waxe wearie of so vnworthie a thing , and as I neuer tooke any pleasure in the same , so here I leaue it to them that like it better .",so vnpleasing smels,Olfactive,Quality,58,so unpleasing smell,afraid reader ill long detain unpleasing smell self begin wake dearie unworthi thing take pleasure leave well,unpleasing smell
552,552,1259,073E Samuel Lee 1673 Ecclesia Gemens__31_distribution_REL.txt,1,"Let none stand amazed at the pageantry of false Churches , nor value the Whore of Rome because of her bravery .",the Whore of Rome,Olfactive,Smell\_Source,22,the Whore of Rome,let stand amazed pageantry false church value whore bravery,whore
525,525,1200,067E Richardson 1910 War Police and Watch Dogs__119_distribution_LAW.txt,17,"My own opinion is , that the dog goes both by foot scent on the ground and also by body scent , when this latter scent is there , and I think that this is another reason why tracking in the evening or at night is so much easier for the dog .",foot body this scent scent scent,Olfactive,Smell\_Source,53,foot body this scent scent scent,opinion dog go foot scent ground body scent scent think reason track evening night easy dog,foot body scent scent scent
365,365,841,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,12,The oil distilled in Europe from anise fruit ; or in China from star-anise fruit .,from star-anise fruit,Olfactive,Smell\_Source,16,from star-anise fruit,oil distil anise fruit star anise fruit,star anise fruit
283,283,666,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,48,"It is said by some , probably with a certain degree of truth , that Peau d ' Espagne is of all perfumes that which most nearly approaches the odor of a woman ' s skin ; whether it also suggests the odor of leather is not so clear .",Peau d ' Espagne of a woman ' s skin of leather perfumes odor odor,Olfactive,Smell\_Source,50,peak d ' espagnole of a woman ' s skin of leather perfumes odor odor,say probably certain degree truth peak perfume nearly approach odor woman skin suggest odor leather clear,woman skin leather perfume odor odor
191,191,419,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,18,"A Nauseous Taste depends on a sweet Bitter , mixed with Mucilage and Pungency , as in Aloes , Agarick , Rubarb : And Docks want only the Sweetness ; but have Bitter , Slimy , Sub-acrid Astringency . 3 .",Aloes Agarick Rubarb Nauseous,Olfactive,Smell\_Source,41,Aloes agaric rhubarb Nauseous,nauseous taste depend sweet bitter mix mucilage pungency agaric rhubarb dock want sweetness bitter slimy subacid astringency,aloe
350,350,810,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,86,"Indeed , I know no more intractable malady , for even when the stockings and shoes are changed two or three times a-day and powerful scents used , the morbid stench is still diffused .",morbid stench,Olfactive,Quality,35,morbid stench,know intractable malady stocking shoe change time day powerful scent morbid stench diffused,morbid stench
468,468,1056,059E Simon Barbe 1696 The French Perfumer__430_distribution_PER.txt,5,Another manner of Perfuming Snuff with Flowers .,Snuff with Flowers Perfuming,Olfactive,Odour\_Carrier,8,Snuff with Flowers Perfuming,manner perfuming snuff flower,snuff flower perfume
436,436,975,056E Thomas Reid 1764 An inquiry into the human mind__102_distribution_SCIE.txt,14,"Let us therefore suppose , as before , a person to exercise the sense of smelling : a little experience will discover to him , that the nose is the organ of this sense , and that the air , or something in the air , is a medium of it .",smelling,Olfactive,Smell\_Word,52,smelling,let suppose person exercise sense smell little experience discover nose organ sense air air medium,smell
